"prob_infect","prob_recover","prob_reinfect","c"
0.808365616904632,0.0485895233141698,0.222040138521986,2.18783279783246
0.892151970214797,0.0392348525649458,0.0903602089723802,2.20614564274773
0.840708836220805,0.0455200275809127,0.172097092193557,2.20432062276096
0.859525562901037,0.042761136904609,0.128921003128801,2.20138182806306
0.795260775020585,0.048849956508871,0.0909538243964402,2.35023656734184
0.936036391827899,0.044895432500923,0.0892760189656696,2.39077011859552
0.835557022834279,0.053554232235363,0.209637774729584,2.34562589663527
0.857040070921121,0.0377287899674229,0.140284826744303,2.25161672851005
0.888762464231758,0.0549479196529845,0.16371056453066,2.25447762791929
0.674648356986712,0.0137645827292736,0.889073148791331,1.21497316611565
