"c","p","gamma","xi"
3.30498559793693,0.140588847322174,0.212543952382825,0.637105013675518
3.29282898133418,0.157082905984509,0.217474225219354,0.564943838431023
3.17173792447197,0.230794044335564,0.263271423745776,0.524281098535188
3.41059905970489,0.133814071105381,0.206990956063206,0.607539810115934
3.4257644855905,0.140299271630561,0.0266975334106229,0.016636329578518
3.08456243672634,0.187771414570347,0.257928235564762,0.738585360795827
3.3398139828147,0.113397055762873,0.180929817794624,0.631015185466146
2.94117367427046,0.138970589547959,0.0843588915571827,0.106342348167735
3.33117789716243,0.157887845455959,0.228784864929135,0.517510225570446
3.25960929532326,0.0464084069452692,0.0773951429490829,0.673396637372521
