"c","p","gamma","xi"
3.26055903025601,0.171365235002769,0.101804099629063,0.0983666083825855
3.42528113161897,0.139060734108851,0.062305969165587,0.045657425749299
3.44525004909562,0.22414120920321,0.102124888164978,0.0937546031715274
3.34119792024932,0.123174689519564,0.0762532619119313,0.0770026780331021
2.95376046885691,0.107142257439827,0.0432663600920385,0.0373446160599379
3.09534454971658,0.136143359182363,0.107351818597375,0.133727549927267
3.19505028575125,0.141088374747028,0.118613383996336,0.136002948074733
3.3884558335908,0.262836363755974,0.284001543207883,0.343108560104266
3.21747317330939,0.10248604721499,0.0819020804729351,0.0765527853262524
2.89302834155966,0.195112013959263,0.0641519779415561,0.0555636462768536
